Draw Date,Winning Numbers,Cash Ball
7/28/2014,06 15 31 51 53,2
7/24/2014,05 20 35 43 48,3
7/21/2014,04 06 11 24 31,3
7/17/2014,08 09 22 46 51,1
7/14/2014,09 19 34 37 49,2
7/10/2014,11 12 31 54 59,3
7/7/2014,11 13 23 54 55,2
7/3/2014,08 10 25 28 31,2
6/30/2014,01 04 10 28 33,2
6/26/2014,15 22 51 52 58,3
6/23/2014,05 16 21 33 47,4
6/19/2014,08 13 43 56 60,2
6/16/2014,09 36 44 53 59,3
